(4, 6, 9, 1)
(4, 6, 11, 1)
(4, 7, 11, 1)
(4, 8, 11, 1)
(6, 8, 11, 1)
(6, 8, 13, 1)
(6, 9, 13, 1)
(5, 10, 13, 1)
(6, 10, 13, 1)
(8, 10, 13, 1)
(6, 9, 14, 1)
(5, 10, 14, 1)
(7, 10, 14, 1)
(4, 11, 14, 1)
(6, 11, 14, 1)
(6, 8, 15, 1)
(6, 10, 15, 1)
(7, 10, 15, 1)
(8, 10, 15, 1)
(4, 11, 15, 1)
(6, 11, 15, 1)
(8, 11, 15, 1)
(4, 12, 15, 1)
(5, 12, 15, 1)
(7, 12, 15, 1)
(8, 12, 15, 1)
(10, 12, 15, 1)
(8, 11, 16, 1)
(7, 12, 16, 1)
(6, 13, 16, 1)
(6, 10, 17, 1)
(7, 10, 17, 1)
(8, 10, 17, 1)
(6, 11, 17, 1)
(6, 12, 17, 1)
(10, 12, 17, 1)
(6, 13, 17, 1)
(10, 13, 17, 1)
(4, 14, 17, 1)
(6, 14, 17, 1)
(7, 14, 17, 1)
(9, 14, 17, 1)
(10, 14, 17, 1)
(12, 14, 17, 1)
(8, 11, 18, 1)
(7, 12, 18, 1)
(6, 13, 18, 1)
(10, 13, 18, 1)
(5, 14, 18, 1)
(7, 14, 18, 1)
(9, 14, 18, 1)
(11, 14, 18, 1)
(4, 15, 18, 1)
(8, 15, 18, 1)
(10, 15, 18, 1)
(8, 10, 19, 1)
(8, 11, 19, 1)
(6, 12, 19, 1)
(7, 12, 19, 1)
(8, 12, 19, 1)
(9, 12, 19, 1)
(10, 12, 19, 1)
(6, 13, 19, 1)
(8, 13, 19, 1)
(5, 14, 19, 1)
(6, 14, 19, 1)
(7, 14, 19, 1)
(8, 14, 19, 1)
(10, 14, 19, 1)
(11, 14, 19, 1)
(12, 14, 19, 1)
(4, 15, 19, 1)
(6, 15, 19, 1)
(8, 15, 19, 1)
(10, 15, 19, 1)
(12, 15, 19, 1)
(5, 16, 19, 1)
(6, 16, 19, 1)
(8, 16, 19, 1)
(9, 16, 19, 1)
(11, 16, 19, 1)
(12, 16, 19, 1)
(14, 16, 19, 1)
(10, 13, 20, 1)
(7, 14, 20, 1)
(9, 14, 20, 1)
(6, 15, 20, 1)
(8, 15, 20, 1)
(12, 15, 20, 1)
(7, 16, 20, 1)
(11, 16, 20, 1)
(6, 17, 20, 1)
(10, 17, 20, 1)
(10, 12, 21, 1)
(10, 13, 21, 1)
(8, 14, 21, 1)
(9, 14, 21, 1)
(10, 14, 21, 1)
(11, 14, 21, 1)
(12, 14, 21, 1)
(8, 15, 21, 1)
(10, 15, 21, 1)
(7, 16, 21, 1)
(10, 16, 21, 1)
(14, 16, 21, 1)
(6, 17, 21, 1)
(10, 17, 21, 1)
(14, 17, 21, 1)
(4, 18, 21, 1)
(5, 18, 21, 1)
(7, 18, 21, 1)
(8, 18, 21, 1)
(10, 18, 21, 1)
(11, 18, 21, 1)
(13, 18, 21, 1)
(14, 18, 21, 1)
(16, 18, 21, 1)
(9, 14, 22, 1)
(11, 14, 22, 1)
(10, 15, 22, 1)
(12, 15, 22, 1)
(9, 16, 22, 1)
(11, 16, 22, 1)
(6, 17, 22, 1)
(8, 17, 22, 1)
(10, 17, 22, 1)
(14, 17, 22, 1)
(5, 18, 22, 1)
(7, 18, 22, 1)
(9, 18, 22, 1)
(11, 18, 22, 1)
(13, 18, 22, 1)
(15, 18, 22, 1)
(6, 19, 22, 1)
(8, 19, 22, 1)
(12, 19, 22, 1)
(14, 19, 22, 1)
(10, 12, 23, 1)
(10, 13, 23, 1)
(9, 14, 23, 1)
(10, 14, 23, 1)
(12, 14, 23, 1)
(8, 15, 23, 1)
(10, 15, 23, 1)
(12, 15, 23, 1)
(6, 16, 23, 1)
(7, 16, 23, 1)
(8, 16, 23, 1)
(10, 16, 23, 1)
(11, 16, 23, 1)
(12, 16, 23, 1)
(13, 16, 23, 1)
(14, 16, 23, 1)
(6, 17, 23, 1)
(10, 17, 23, 1)
(12, 17, 23, 1)
(4, 18, 23, 1)
(5, 18, 23, 1)
(6, 18, 23, 1)
(7, 18, 23, 1)
(9, 18, 23, 1)
(10, 18, 23, 1)
(11, 18, 23, 1)
(12, 18, 23, 1)
(14, 18, 23, 1)
(15, 18, 23, 1)
(16, 18, 23, 1)
(4, 19, 23, 1)
(6, 19, 23, 1)
(8, 19, 23, 1)
(10, 19, 23, 1)
(12, 19, 23, 1)
(14, 19, 23, 1)
(16, 19, 23, 1)
(4, 20, 23, 1)
(6, 20, 23, 1)
(7, 20, 23, 1)
(9, 20, 23, 1)
(10, 20, 23, 1)
(12, 20, 23, 1)
(13, 20, 23, 1)
(15, 20, 23, 1)
(16, 20, 23, 1)
(18, 20, 23, 1)
(11, 14, 24, 1)
(10, 15, 24, 1)
(11, 16, 24, 1)
(14, 17, 24, 1)
(7, 18, 24, 1)
(11, 18, 24, 1)
(13, 18, 24, 1)
(6, 19, 24, 1)
(8, 19, 24, 1)
(10, 19, 24, 1)
(12, 19, 24, 1)
(16, 19, 24, 1)
(7, 20, 24, 1)
(11, 20, 24, 1)
(15, 20, 24, 1)
(10, 21, 24, 1)
(14, 21, 24, 1)
(10, 14, 25, 1)
(11, 14, 25, 1)
(12, 14, 25, 1)
(12, 15, 25, 1)
(11, 16, 25, 1)
(14, 16, 25, 1)
(10, 17, 25, 1)
(14, 17, 25, 1)
(6, 18, 25, 1)
(7, 18, 25, 1)
(8, 18, 25, 1)
(9, 18, 25, 1)
(10, 18, 25, 1)
(12, 18, 25, 1)
(13, 18, 25, 1)
(14, 18, 25, 1)
(15, 18, 25, 1)
(16, 18, 25, 1)
(6, 19, 25, 1)
(8, 19, 25, 1)
(12, 19, 25, 1)
(14, 19, 25, 1)
